Group,Mouse ID,Sex,Exposure Period (days),PFAS Type,Dose (mg/kg)*,Whole Liver Weight (g),,Notes,Analysis Batch #,Results file name,Concentration. unit,PFOA,PFOS,PFBA,PFPeA,PFHxA,PFHpA,PFNA,PFDA,PFUdA,PFDoA,PFTrDA,PFTeDA,PFBS,PFPeS,PFHxS,PFHpS,PFNS,PFDS,4_2-FTS,6_2_FTS,8_2-FTS,N-MeFOSAA,N-EtFOSAA,FOSA,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle,MV21,Male,28,0.5% Tween 20,,1.106,,,ML-B7,20241210_ML_Batch7_Summary,mg/kg (ppb),0.000488359,0.264089814,8.89718E-05,0.000211931,<MDL,<MDL,0.001764666,0.001889153,0.002366947,0.000521477,0.000384507,<MDL,<MDL,<MDL,0.001842729,0.005901184,<MDL,0.00034419,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.488358967,264.0898138,0.088971763,0.211931283,<MDL,<MDL,1.764665506,1.889153167,2.366947489,0.521476603,0.384506623,<MDL,<MDL,<MDL,1.842728778,5.901184178,<MDL,0.344190025,<MDL,<MDL,<MDL,NA,NA,NA
Vehicle,MV22,Male,28,0.5% Tween 20,,1.144,,Flow spleen half - dark spot (~50%),ML-B7,20241210_ML_Batch7_Summary,mg/kg (ppb),0.002245183,0.397432839,0.000138625,0.000233024,0.00054325,0.000114426,0.001772018,0.001942462,0.002374749,0.000474272,0.000378496,<MDL,<MDL,<MDL,0.003912003,0.009631076,<MDL,0.000405352,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,2.245182776,397.4328389,0.138625195,0.233024215,0.543249576,0.114426205,1.77201767,1.942461664,2.374748607,0.474272466,0.37849609,<MDL,<MDL,<MDL,3.912003481,9.63107645,<MDL,0.405351805,<MDL,<MDL,<MDL,NA,NA,NA
Vehicle,MV23,Male,28,0.5% Tween 20,,0.957,,,ML-B7,20241210_ML_Batch7_Summary,mg/kg (ppb),0.000382728,0.092400352,7.35178E-05,0.000168653,<MDL,<MDL,0.001415174,0.001527226,0.002065341,0.000422918,0.000353393,<MDL,<MDL,<MDL,<MDL,0.001409215,<MDL,0.000271926,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.382727518,92.40035239,0.073517782,0.168653081,<MDL,<MDL,1.415174394,1.52722589,2.065341326,0.42291816,0.353393446,<MDL,<MDL,<MDL,<MDL,1.409215027,<MDL,0.27192574,<MDL,<MDL,<MDL,NA,NA,NA
Vehicle,MV24,Male,28,0.5% Tween 20,,1.207,,,ML-B7,20241210_ML_Batch7_Summary,mg/kg (ppb),0.000477172,0.357529991,9.46666E-05,<MDL,<MDL,<MDL,0.001366704,0.001555261,0.00180747,0.000402331,0.000288825,<MDL,<MDL,<MDL,0.003004736,0.008317924,<MDL,0.000284282,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.477171951,357.5299911,0.094666601,<MDL,<MDL,<MDL,1.366704152,1.55526123,1.807469562,0.402331367,0.288825317,<MDL,<MDL,<MDL,3.00473595,8.317924411,<MDL,0.284282452,<MDL,<MDL,<MDL,NA,NA,NA
Vehicle,FV25,Female,28,0.5% Tween 20,,1.061,,,ML-B7,20241210_ML_Batch7_Summary,mg/kg (ppb),0.001908553,0.004381345,<MDL,<MDL,<MDL,<MDL,0.000499495,0.000813461,0.000974529,0.000228548,0.00023242,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.000237598,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,1.908552656,4.381344538,<MDL,<MDL,<MDL,<MDL,0.499495449,0.813461134,0.974529335,0.228548247,0.232419932,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.23759752,<MDL,<MDL,<MDL,NA,NA,NA
Vehicle,FV26,Female,28,0.5% Tween 20,,0.923,,,ML-B7,20241210_ML_Batch7_Summary,mg/kg (ppb),0.000537757,0.571484717,<MDL,0.000164997,<MDL,<MDL,0.000440213,0.000646378,0.000779074,0.000176389,0.000177359,<MDL,<MDL,<MDL,0.004092061,0.011823733,<MDL,0.000258744,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.537757061,571.484717,<MDL,0.164997352,<MDL,<MDL,0.440213277,0.64637765,0.779073848,0.17638886,0.177359113,<MDL,<MDL,<MDL,4.092061458,11.82373253,<MDL,0.258743676,<MDL,<MDL,<MDL,NA,NA,NA
Vehicle,FV27,Female,28,0.5% Tween 20,,1.005,,,ML-B7,20241210_ML_Batch7_Summary,mg/kg (ppb),0.00030905,0.128743804,<MDL,<MDL,<MDL,<MDL,0.000609803,0.000878014,0.001110825,0.000245168,0.000207792,<MDL,<MDL,<MDL,0.002300393,0.004529538,<MDL,0.000234907,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.309049593,128.743804,<MDL,<MDL,<MDL,<MDL,0.609802955,0.878013621,1.110825123,0.245168093,0.207791605,<MDL,<MDL,<MDL,2.300393156,4.529537747,<MDL,0.234906791,<MDL,<MDL,<MDL,NA,NA,NA
Vehicle,FV28,Female,28,0.5% Tween 20,,0.931,,,"ML-B1 extracted, re-analyzed in ML-B07",20241210_ML_Batch7_Summary,mg/kg (ppm),<MDL,0.329549696,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.000836479,0.004452175,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,329.5496956,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.836479349,4.452175401,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL
Vehicle,FV29,Female,28,0.5% Tween 20,,1.006,,,ML-B7,20241210_ML_Batch7_Summary,mg/kg (ppb),0.000530117,0.060597826,0.000139812,0.000397987,0.000215111,0.000175593,0.001199022,0.001460839,0.001917436,0.000508975,0.000352602,<MDL,<MDL,<MDL,0.000844416,0.001967582,<MDL,0.000426483,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.530116712,60.59782558,0.139812375,0.397986893,0.215110745,0.17559299,1.199022046,1.460838884,1.917435655,0.508975352,0.352602275,<MDL,<MDL,<MDL,0.844416424,1.967581693,<MDL,0.426482808,<MDL,<MDL,<MDL,NA,NA,NA
Vehicle,FV30,Female,28,0.5% Tween 20,,0.921,,,ML-B7,20241210_ML_Batch7_Summary,mg/kg (ppb),0.000242246,0.406405084,<MDL,0.000269297,<MDL,<MDL,0.000356608,0.000534131,0.000762524,0.000196399,0.000163276,<MDL,<MDL,<MDL,0.003241922,0.008684602,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.24224643,406.405084,<MDL,0.269296838,<MDL,<MDL,0.35660817,0.534131257,0.762524111,0.19639858,0.163276022,<MDL,<MDL,<MDL,3.241921721,8.684601966,<MDL,<MDL,<MDL,<MDL,<MDL,NA,NA,NA
