Group,Mouse ID,Sex,PFOA,PFOS,PFBA,PFPeA,PFHxA,PFHpA,PFNA,PFDA,PFUdA,PFDoA,PFTrDA,PFTeDA,PFBS,PFPeS,PFHxS,PFHpS,PFNS,PFDS,4_2-FTS,6_2_FTS,8_2-FTS,N-MeFOSAA,N-EtFOSAA,,FOSA
PFOS 0.166,MS116,Male,<MDL,104.1848626,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.344889665,1.209828966,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,<MDL
PFOS 0.166,MS117,Male,<MDL,118.431439,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.27672756,1.363235109,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,<MDL
PFOS 0.166,MS118,Male,<MDL,107.3801773,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.23168649,1.300607573,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,<MDL
PFOS 0.166,MS119,Male,<MDL,116.4074965,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.197997003,1.353164724,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,<MDL
PFOS 0.166,MS120,Male,<MDL,103.4964378,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.266836131,1.124019608,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,<MDL
PFOS 0.5,MS121,Male,<MDL,319.9750697,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.897337347,4.192533151,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,<MDL
PFOS 0.5,MS122,Male,<MDL,314.5205675,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.846921753,4.113358637,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,<MDL
PFOS 0.5,MS123,Male,<MDL,333.474778,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.765333245,4.30106629,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,<MDL
PFOS 0.5,MS124,Male,<MDL,307.7313254,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.73286239,4.448416768,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,<MDL
PFOS 0.5,MS125,Male,<MDL,277.8344492,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.530844635,3.382891223,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,<MDL
PFOS 0.5,MS126,Male,<MDL,300.3639433,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,1.100099804,4.700228123,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,<MDL
PFOS 0.5,MS127,Male,<MDL,335.2876087,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.444835515,3.65204677,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,<MDL
PFOS 0.5,MS128,Male,<MDL,319.3097634,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.557428544,3.886038404,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,<MDL
PFOS 1,MS129,Male,<MDL,501.5390735,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,1.633765406,6.721237228,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,<MDL
PFOS 1,MS130,Male,<MDL,565.2124867,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,2.029538034,8.924833938,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,<MDL
PFOS 1,MS131,Male,<MDL,538.9996908,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,2.14671164,8.620613695,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,<MDL
PFOS 1,MS132,Male,<MDL,488.9706162,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,1.524386639,6.805292653,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,<MDL
PFOS 1,MS133,Male,<MDL,513.7669389,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,1.014583245,6.020551625,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,<MDL
PFOS 1,MS134,Male,<MDL,575.504636,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,1.322116465,7.820327348,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,<MDL
PFOS 1,MS135,Male,3.989541005,585.0896741,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,1.269717839,7.427793902,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,<MDL
PFOS 1,MS136,Male,<MDL,575.3103651,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,1.402231872,7.039945681,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,<MDL
PFOS 1.5,MS137,Male,<MDL,759.8560826,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,2.472053951,10.85783274,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,<MDL
PFOS 1.5,MS138,Male,<MDL,705.0786343,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,2.201955866,10.41415728,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,<MDL
PFOS 1.5,MS139,Male,<MDL,716.0729443,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,1.93776008,11.298176,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,<MDL
PFOS 1.5,MS140,Male,<MDL,770.9302442,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,2.34351491,11.01421162,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,<MDL
PFOS 1.5,MS141,Male,<MDL,749.3934605,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,1.848835327,10.4816374,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,<MDL
PFOS 1.5,MS142,Male,<MDL,784.6457798,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,2.061492701,11.29740566,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,<MDL
PFOS 1.5,MS143,Male,<MDL,755.1228393,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,1.996786388,10.67061549,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,<MDL
PFOS 1.5,MS144,Male,<MDL,747.7784639,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,1.875385309,10.12911505,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,<MDL
Naive,FN145,Female,0.000246348,0.007061344,<MDL,<MDL,<MDL,<MDL,0.000275987,0.000265523,0.000269855,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,<MDL
Naive,FN146,Female,0.000261072,0.002741422,<MDL,<MDL,<MDL,<MDL,0.000268527,0.00036303,0.000340121,0.000113929,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,<MDL
Naive,FN147,Female,0.000197812,0.011349033,<MDL,<MDL,<MDL,<MDL,0.00022884,0.000338972,0.000372621,9.12884E-05,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,<MDL
Naive,FN148,Female,0.000202917,0.005841622,<MDL,<MDL,<MDL,<MDL,0.000246363,0.000391849,0.00039464,0.000125093,0.000114424,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,<MDL
Naive,FN149,Female,0.000266175,0.002676252,<MDL,<MDL,<MDL,<MDL,0.00036207,0.000396524,0.000325778,9.25942E-05,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,<MDL
Naive,FN150,Female,0.000276571,0.002950662,<MDL,<MDL,<MDL,<MDL,0.000315581,0.000401451,0.000433726,0.000118763,0.000128758,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,<MDL
